'Elapsed time','ECG'
'0:01.196',-1.445
'0:01.200',-1.585
'0:01.204',-1.795
'0:01.208',-1.890
'0:01.212',-1.945
'0:01.216',-2.080
'0:01.220',-2.305
'0:01.224',-2.510
'0:01.228',-2.610
'0:01.232',-2.565
'0:01.236',-2.390
'0:01.240',-2.250
'0:01.244',-2.145
'0:01.248',-1.965
'0:01.252',-1.770
'0:01.256',-1.585
'0:01.260',-1.415
'0:01.264',-1.285
'0:01.268',-1.150
'0:01.272',-1.045
'0:01.276',-0.910
'0:01.280',-0.785
'0:01.284',-0.675
'0:01.288',-0.565
'0:01.292',-0.445
'0:01.296',-0.350
'0:01.300',-0.275
'0:01.304',-0.190
'0:01.308',-0.110
'0:01.312',-0.065
'0:01.316',-0.020
'0:01.320',0.035
'0:01.324',0.075
'0:01.328',0.115
'0:01.332',0.150
'0:01.336',0.170
'0:01.340',0.190
'0:01.344',0.255
'0:01.348',0.295
'0:01.352',0.335
'0:01.356',0.370
'0:01.360',0.395
'0:01.364',0.395
'0:01.368',0.430
'0:01.372',0.455
'0:01.376',0.490
'0:01.380',0.500
'0:01.384',0.510
'0:01.388',0.520
'0:01.392',0.545
'0:01.396',0.530
'0:01.400',0.530
'0:01.404',0.550
'0:01.408',0.580
'0:01.412',0.580
'0:01.416',0.600
'0:01.420',0.590
'0:01.424',0.565
'0:01.428',0.565
'0:01.432',0.580
'0:01.436',0.580
'0:01.440',0.575
'0:01.444',0.560
'0:01.448',0.545
'0:01.452',0.545
'0:01.456',0.550
'0:01.460',0.575
'0:01.464',0.585
'0:01.468',0.590
'0:01.472',0.570
'0:01.476',0.575
'0:01.480',0.600
'0:01.484',0.605
'0:01.488',0.645
'0:01.492',0.715
'0:01.496',0.735
'0:01.500',0.775
'0:01.504',0.820
'0:01.508',0.845
'0:01.512',0.835
'0:01.516',0.835
'0:01.520',0.825
'0:01.524',0.810
'0:01.528',0.795
'0:01.532',0.790
'0:01.536',0.755
'0:01.540',0.700
'0:01.544',0.640
'0:01.548',0.605
'0:01.552',0.560
'0:01.556',0.520
'0:01.560',0.515
'0:01.564',0.435
'0:01.568',0.360
'0:01.572',0.310
'0:01.576',0.280
'0:01.580',0.245
'0:01.584',0.235
'0:01.588',0.215
'0:01.592',0.220
'0:01.596',0.205
'0:01.600',0.200
'0:01.604',0.195
'0:01.608',0.200
'0:01.612',0.190
'0:01.616',0.200
'0:01.620',0.200
'0:01.624',0.190
'0:01.628',0.175
'0:01.632',0.190
'0:01.636',0.185
'0:01.640',0.170
'0:01.644',0.170
'0:01.648',0.170
'0:01.652',0.165
'0:01.656',0.185
'0:01.660',0.205
'0:01.664',0.205
'0:01.668',0.210
'0:01.672',0.210
'0:01.676',0.155
'0:01.680',0.125
'0:01.684',0.115
'0:01.688',0.095
'0:01.692',0.070
'0:01.696',0.005
'0:01.700',-0.110
'0:01.704',-0.210
'0:01.708',-0.250
'0:01.712',-0.295
'0:01.716',-0.340
'0:01.720',-0.315
'0:01.724',-0.265
'0:01.728',-0.250
'0:01.732',-0.315
'0:01.736',-0.475
'0:01.740',-0.690
'0:01.744',-0.805
'0:01.748',-0.855
'0:01.752',-0.975
'0:01.756',-1.185
'0:01.760',-1.385
'0:01.764',-1.525
'0:01.768',-1.510
'0:01.772',-1.325
'0:01.776',-1.170
'0:01.780',-1.075
'0:01.784',-0.910
'0:01.788',-0.750
'0:01.792',-0.580
'0:01.796',-0.455
'0:01.800',-0.315
'0:01.804',-0.200
'0:01.808',-0.100
'0:01.812',0.015
'0:01.816',0.125
'0:01.820',0.220
'0:01.824',0.320
'0:01.828',0.405
'0:01.832',0.485
'0:01.836',0.550
'0:01.840',0.600
'0:01.844',0.670
'0:01.848',0.715
'0:01.852',0.730
'0:01.856',0.755
'0:01.860',0.775
'0:01.864',0.780
'0:01.868',0.805
'0:01.872',0.815
'0:01.876',0.840
'0:01.880',0.855
'0:01.884',0.870
'0:01.888',0.865
'0:01.892',0.895
'0:01.896',0.925
'0:01.900',0.955
'0:01.904',0.970
'0:01.908',0.970
'0:01.912',0.960
'0:01.916',0.965
'0:01.920',0.970
'0:01.924',0.965
'0:01.928',0.965
'0:01.932',0.965
'0:01.936',0.965
'0:01.940',0.955
'0:01.944',0.945
'0:01.948',0.930
'0:01.952',0.935
'0:01.956',0.930
'0:01.960',0.930
'0:01.964',0.915
'0:01.968',0.890
'0:01.972',0.870
'0:01.976',0.865
'0:01.980',0.855
'0:01.984',0.850
'0:01.988',0.835
'0:01.992',0.845
'0:01.996',0.825
'0:02.000',0.820
'0:02.004',0.830
'0:02.008',0.840
'0:02.012',0.845
'0:02.016',0.870
'0:02.020',0.895
'0:02.024',0.945
'0:02.028',0.985
'0:02.032',1.005
'0:02.036',1.015
'0:02.040',1.035
'0:02.044',1.055
'0:02.048',1.045
'0:02.052',1.020
'0:02.056',0.990
'0:02.060',0.980
'0:02.064',0.960
'0:02.068',0.940
'0:02.072',0.890
'0:02.076',0.810
'0:02.080',0.730
'0:02.084',0.710
'0:02.088',0.665
'0:02.092',0.620
'0:02.096',0.570
'0:02.100',0.485
'0:02.104',0.420
'0:02.108',0.375
'0:02.112',0.335
'0:02.116',0.295
'0:02.120',0.270
'0:02.124',0.230
'0:02.128',0.200
'0:02.132',0.220
'0:02.136',0.235
'0:02.140',0.225
'0:02.144',0.220
'0:02.148',0.210
'0:02.152',0.195
'0:02.156',0.200
'0:02.160',0.205
'0:02.164',0.190
'0:02.168',0.190
'0:02.172',0.195
'0:02.176',0.210
'0:02.180',0.180
'0:02.184',0.185
'0:02.188',0.195
'0:02.192',0.215
'0:02.196',0.240
'0:02.200',0.240
'0:02.204',0.230
'0:02.208',0.225
'0:02.212',0.170
'0:02.216',0.175
'0:02.220',0.140
'0:02.224',0.125
'0:02.228',0.095
'0:02.232',0.030
'0:02.236',-0.090
'0:02.240',-0.190
'0:02.244',-0.225
'0:02.248',-0.285
'0:02.252',-0.300
'0:02.256',-0.280
'0:02.260',-0.215
'0:02.264',-0.215
'0:02.268',-0.315
'0:02.272',-0.505
'0:02.276',-0.685
'0:02.280',-0.800
'0:02.284',-0.870
'0:02.288',-1.040
'0:02.292',-1.265
'0:02.296',-1.460
'0:02.300',-1.530
'0:02.304',-1.490
'0:02.308',-1.315
'0:02.312',-1.200
'0:02.316',-1.095
'0:02.320',-0.930
'0:02.324',-0.770
'0:02.328',-0.610
'0:02.332',-0.460
'0:02.336',-0.320
'0:02.340',-0.185
'0:02.344',-0.080
'0:02.348',0.025
'0:02.352',0.120
'0:02.356',0.225
'0:02.360',0.335
'0:02.364',0.430
'0:02.368',0.530
'0:02.372',0.580
'0:02.376',0.650
'0:02.380',0.715
'0:02.384',0.755
'0:02.388',0.765
'0:02.392',0.825
'0:02.396',0.860
'0:02.400',0.890
'0:02.404',0.915
'0:02.408',0.935
'0:02.412',0.940
'0:02.416',0.965
'0:02.420',0.990
'0:02.424',1.005
'0:02.428',1.020
'0:02.432',1.045
'0:02.436',1.050
'0:02.440',1.055
'0:02.444',1.065
'0:02.448',1.080
'0:02.452',1.085
'0:02.456',1.095
'0:02.460',1.075
'0:02.464',1.085
'0:02.468',1.070
'0:02.472',1.075
'0:02.476',1.105
'0:02.480',1.075
'0:02.484',1.055
'0:02.488',1.055
'0:02.492',1.055
'0:02.496',1.035
'0:02.500',1.035
'0:02.504',1.035
'0:02.508',1.010
'0:02.512',0.985
'0:02.516',0.965
'0:02.520',0.950
'0:02.524',0.950
'0:02.528',0.945
'0:02.532',0.945
'0:02.536',0.920
'0:02.540',0.915
'0:02.544',0.915
'0:02.548',0.910
'0:02.552',0.935
'0:02.556',0.955
'0:02.560',1.010
'0:02.564',1.040
'0:02.568',1.045
'0:02.572',1.050
'0:02.576',1.070
'0:02.580',1.070
'0:02.584',1.070
'0:02.588',1.025
'0:02.592',0.995
'0:02.596',0.975
'0:02.600',0.945
'0:02.604',0.905
'0:02.608',0.865
'0:02.612',0.760
'0:02.616',0.705
'0:02.620',0.670
'0:02.624',0.595
'0:02.628',0.555
'0:02.632',0.515
'0:02.636',0.435
'0:02.640',0.375
'0:02.644',0.330
'0:02.648',0.275
'0:02.652',0.240
'0:02.656',0.220
'0:02.660',0.215
'0:02.664',0.190
'0:02.668',0.165
'0:02.672',0.155
'0:02.676',0.165
'0:02.680',0.150
'0:02.684',0.135
'0:02.688',0.125
'0:02.692',0.130
'0:02.696',0.115
'0:02.700',0.120
'0:02.704',0.115
'0:02.708',0.110
'0:02.712',0.090
'0:02.716',0.095
'0:02.720',0.100
'0:02.724',0.090
'0:02.728',0.090
'0:02.732',0.095
'0:02.736',0.095
'0:02.740',0.100
'0:02.744',0.075
'0:02.748',0.025
'0:02.752',0.020
'0:02.756',0.005
'0:02.760',-0.025
'0:02.764',-0.075
'0:02.768',-0.160
'0:02.772',-0.270
'0:02.776',-0.340
'0:02.780',-0.385
'0:02.784',-0.445
'0:02.788',-0.455
'0:02.792',-0.420
'0:02.796',-0.380
'0:02.800',-0.410
'0:02.804',-0.530
'0:02.808',-0.720
'0:02.812',-0.875
'0:02.816',-0.975
'0:02.820',-1.080
'0:02.824',-1.260
'0:02.828',-1.465
'0:02.832',-1.630
'0:02.836',-1.680
'0:02.840',-1.560
'0:02.844',-1.395
'0:02.848',-1.305
'0:02.852',-1.175
'0:02.856',-1.000
'0:02.860',-0.825
'0:02.864',-0.680
'0:02.868',-0.535
'0:02.872',-0.415
'0:02.876',-0.285
'0:02.880',-0.175
'0:02.884',-0.050
'0:02.888',0.080
'0:02.892',0.185
'0:02.896',0.280
'0:02.900',0.370
'0:02.904',0.430
'0:02.908',0.500
'0:02.912',0.595
'0:02.916',0.660
'0:02.920',0.700
'0:02.924',0.725
'0:02.928',0.740
'0:02.932',0.755
'0:02.936',0.790
'0:02.940',0.825
'0:02.944',0.845
'0:02.948',0.855
'0:02.952',0.880
'0:02.956',0.900
'0:02.960',0.920
'0:02.964',0.920
'0:02.968',0.935
'0:02.972',0.945
'0:02.976',0.965
'0:02.980',0.965
'0:02.984',0.975
'0:02.988',0.960
'0:02.992',0.960
'0:02.996',0.950
'0:03.000',0.975
'0:03.004',0.975
'0:03.008',0.970
'0:03.012',0.945
'0:03.016',0.925
'0:03.020',0.915
'0:03.024',0.915
'0:03.028',0.895
'0:03.032',0.890
'0:03.036',0.865
'0:03.040',0.845
'0:03.044',0.815
'0:03.048',0.790
'0:03.052',0.770
'0:03.056',0.760
'0:03.060',0.755
'0:03.064',0.750
'0:03.068',0.730
'0:03.072',0.715
'0:03.076',0.715
'0:03.080',0.690
'0:03.084',0.685
'0:03.088',0.685
'0:03.092',0.700
'0:03.096',0.730
'0:03.100',0.750
'0:03.104',0.775
'0:03.108',0.790
'0:03.112',0.785
'0:03.116',0.765
'0:03.120',0.735
'0:03.124',0.695
'0:03.128',0.670
'0:03.132',0.650
'0:03.136',0.605
'0:03.140',0.540
'0:03.144',0.455
'0:03.148',0.375
'0:03.152',0.325
'0:03.156',0.265
'0:03.160',0.220
'0:03.164',0.140
'0:03.168',0.020
'0:03.172',-0.065
'0:03.176',-0.110
'0:03.180',-0.160
'0:03.184',-0.190
'0:03.188',-0.240
'0:03.192',-0.270
'0:03.196',-0.315
'0:03.200',-0.325
'0:03.204',-0.350
'0:03.208',-0.375
'0:03.212',-0.390
'0:03.216',-0.390
'0:03.220',-0.415
'0:03.224',-0.445
'0:03.228',-0.475
'0:03.232',-0.485
'0:03.236',-0.500
'0:03.240',-0.510
'0:03.244',-0.530
'0:03.248',-0.560
'0:03.252',-0.590
'0:03.256',-0.585
'0:03.260',-0.585
'0:03.264',-0.595
'0:03.268',-0.605
'0:03.272',-0.590
'0:03.276',-0.600
'0:03.280',-0.670
'0:03.284',-0.680
'0:03.288',-0.705
'0:03.292',-0.720
'0:03.296',-0.760
'0:03.300',-0.850
'0:03.304',-0.985
'0:03.308',-1.080
'0:03.312',-1.110
'0:03.316',-1.150
'0:03.320',-1.180
'0:03.324',-1.165
'0:03.328',-1.115
'0:03.332',-1.115
'0:03.336',-1.200
'0:03.340',-1.375
'0:03.344',-1.555
'0:03.348',-1.690
'0:03.352',-1.770
'0:03.356',-1.920
'0:03.360',-2.145
'0:03.364',-2.385
'0:03.368',-2.510
'0:03.372',-2.505
'0:03.376',-2.375
'0:03.380',-2.320
'0:03.384',-2.270
'0:03.388',-2.130
'0:03.392',-1.940
'0:03.396',-1.790
'0:03.400',-1.650
'0:03.404',-1.530
'0:03.408',-1.405
'0:03.412',-1.300
'0:03.416',-1.185
'0:03.420',-1.060
'0:03.424',-0.940
'0:03.428',-0.850
'0:03.432',-0.740
'0:03.436',-0.655
'0:03.440',-0.605
'0:03.444',-0.550
'0:03.448',-0.465
'0:03.452',-0.420
'0:03.456',-0.395
'0:03.460',-0.355
'0:03.464',-0.330
'0:03.468',-0.300
'0:03.472',-0.285
'0:03.476',-0.260
'0:03.480',-0.230
'0:03.484',-0.200
'0:03.488',-0.175
'0:03.492',-0.155
'0:03.496',-0.140
'0:03.500',-0.120
'0:03.504',-0.100
'0:03.508',-0.080
'0:03.512',-0.080
'0:03.516',-0.070
'0:03.520',-0.050
'0:03.524',-0.035
'0:03.528',-0.040
'0:03.532',-0.040
'0:03.536',-0.035
'0:03.540',-0.040
'0:03.544',-0.040
'0:03.548',-0.045
'0:03.552',-0.050
'0:03.556',-0.050
'0:03.560',-0.050
'0:03.564',-0.060
'0:03.568',-0.075
'0:03.572',-0.090
'0:03.576',-0.090
'0:03.580',-0.125
'0:03.584',-0.145
'0:03.588',-0.170
'0:03.592',-0.170
'0:03.596',-0.185
'0:03.600',-0.195
'0:03.604',-0.220
'0:03.608',-0.225
'0:03.612',-0.260
'0:03.616',-0.270
'0:03.620',-0.265
'0:03.624',-0.240
'0:03.628',-0.195
'0:03.632',-0.150
'0:03.636',-0.140
'0:03.640',-0.120
'0:03.644',-0.085
'0:03.648',-0.055
'0:03.652',-0.065
'0:03.656',-0.085
'0:03.660',-0.110
'0:03.664',-0.135
'0:03.668',-0.140
'0:03.672',-0.160
'0:03.676',-0.205
'0:03.680',-0.290
'0:03.684',-0.345
'0:03.688',-0.375
'0:03.692',-0.425
'0:03.696',-0.470
'0:03.700',-0.525
'0:03.704',-0.605
'0:03.708',-0.655
'0:03.712',-0.710
'0:03.716',-0.740
'0:03.720',-0.750
'0:03.724',-0.780
'0:03.728',-0.810
'0:03.732',-0.810
'0:03.736',-0.810
'0:03.740',-0.805
'0:03.744',-0.810
'0:03.748',-0.825
'0:03.752',-0.845
'0:03.756',-0.850
'0:03.760',-0.845
'0:03.764',-0.850
'0:03.768',-0.850
'0:03.772',-0.855
'0:03.776',-0.855
'0:03.780',-0.865
'0:03.784',-0.870
'0:03.788',-0.860
'0:03.792',-0.840
'0:03.796',-0.840
'0:03.800',-0.835
'0:03.804',-0.840
'0:03.808',-0.810
'0:03.812',-0.815
'0:03.816',-0.860
'0:03.820',-0.880
'0:03.824',-0.900
'0:03.828',-0.920
'0:03.832',-0.945
'0:03.836',-1.025
'0:03.840',-1.130
'0:03.844',-1.180
'0:03.848',-1.160
'0:03.852',-1.185
'0:03.856',-1.180
'0:03.860',-1.140
'0:03.864',-1.105
'0:03.868',-1.120
'0:03.872',-1.220
'0:03.876',-1.380
'0:03.880',-1.545
'0:03.884',-1.630
'0:03.888',-1.715
'0:03.892',-1.930
'0:03.896',-2.180
'0:03.900',-2.395
'0:03.904',-2.490
'0:03.908',-2.450
'0:03.912',-2.355
'0:03.916',-2.320
'0:03.920',-2.265
'0:03.924',-2.100
'0:03.928',-1.935
'0:03.932',-1.765
'0:03.936',-1.605
'0:03.940',-1.450
'0:03.944',-1.330
'0:03.948',-1.195
'0:03.952',-1.040
'0:03.956',-0.915
'0:03.960',-0.790
'0:03.964',-0.695
'0:03.968',-0.595
'0:03.972',-0.500
'0:03.976',-0.415
'0:03.980',-0.370
'0:03.984',-0.315
'0:03.988',-0.280
'0:03.992',-0.230
'0:03.996',-0.210
'0:04.000',-0.170
'0:04.004',-0.145
'0:04.008',-0.115
'0:04.012',-0.095
'0:04.016',-0.045
'0:04.020',-0.020
'0:04.024',0.005
'0:04.028',0.025
'0:04.032',0.055
'0:04.036',0.080
'0:04.040',0.110
'0:04.044',0.115
'0:04.048',0.125
'0:04.052',0.135
'0:04.056',0.140
'0:04.060',0.155
'0:04.064',0.155
'0:04.068',0.155
'0:04.072',0.150
'0:04.076',0.160
'0:04.080',0.140
'0:04.084',0.135
'0:04.088',0.130
'0:04.092',0.125
'0:04.096',0.100
'0:04.100',0.080
'0:04.104',0.065
'0:04.108',0.060
'0:04.112',0.035
'0:04.116',0.015
'0:04.120',-0.025
'0:04.124',-0.050
'0:04.128',-0.065
'0:04.132',-0.060
'0:04.136',-0.070
'0:04.140',-0.095
'0:04.144',-0.115
'0:04.148',-0.130
'0:04.152',-0.145
'0:04.156',-0.135
'0:04.160',-0.120
'0:04.164',-0.090
'0:04.168',-0.055
'0:04.172',-0.030
'0:04.176',0.015
'0:04.180',0.015
'0:04.184',0.030
'0:04.188',0.025
'0:04.192',0.020
'0:04.196',0.000
'0:04.200',-0.025
'0:04.204',-0.050
'0:04.208',-0.070
'0:04.212',-0.120
'0:04.216',-0.185
'0:04.220',-0.250
'0:04.224',-0.275
'0:04.228',-0.330
'0:04.232',-0.365
'0:04.236',-0.410
'0:04.240',-0.490
'0:04.244',-0.550
'0:04.248',-0.590
'0:04.252',-0.625
'0:04.256',-0.640
'0:04.260',-0.650
'0:04.264',-0.675
'0:04.268',-0.690
'0:04.272',-0.705
'0:04.276',-0.700
'0:04.280',-0.720
'0:04.284',-0.730
'0:04.288',-0.735
'0:04.292',-0.730
'0:04.296',-0.730
'0:04.300',-0.725
'0:04.304',-0.735
'0:04.308',-0.740
'0:04.312',-0.740
'0:04.316',-0.725
'0:04.320',-0.710
'0:04.324',-0.715
'0:04.328',-0.715
'0:04.332',-0.695
'0:04.336',-0.695
'0:04.340',-0.675
'0:04.344',-0.650
'0:04.348',-0.650
'0:04.352',-0.690
'0:04.356',-0.710
'0:04.360',-0.735
'0:04.364',-0.780
'0:04.368',-0.835
'0:04.372',-0.900
'0:04.376',-1.005
'0:04.380',-1.090
'0:04.384',-1.085
'0:04.388',-1.085
'0:04.392',-1.065
'0:04.396',-1.040
'0:04.400',-1.005
'0:04.404',-1.015
'0:04.408',-1.090
'0:04.412',-1.260
'0:04.416',-1.405
'0:04.420',-1.510
'0:04.424',-1.580
'0:04.428',-1.775
'0:04.432',-2.020
'0:04.436',-2.245
'0:04.440',-2.375
'0:04.444',-2.375
'0:04.448',-2.255
'0:04.452',-2.210
'0:04.456',-2.175
'0:04.460',-2.015
'0:04.464',-1.820
'0:04.468',-1.650
'0:04.472',-1.480
'0:04.476',-1.325
'0:04.480',-1.210
'0:04.484',-1.085
'0:04.488',-0.930
'0:04.492',-0.800
'0:04.496',-0.690
'0:04.500',-0.580
'0:04.504',-0.485
'0:04.508',-0.390
'0:04.512',-0.320
'0:04.516',-0.260
'0:04.520',-0.200
'0:04.524',-0.130
'0:04.528',-0.115
'0:04.532',-0.090
'0:04.536',-0.075
'0:04.540',-0.050
'0:04.544',-0.015
'0:04.548',0.005
'0:04.552',0.020
'0:04.556',0.030
'0:04.560',0.060
'0:04.564',0.080
'0:04.568',0.095
'0:04.572',0.110
'0:04.576',0.125
'0:04.580',0.115
'0:04.584',0.130
'0:04.588',0.150
'0:04.592',0.170
'0:04.596',0.160
'0:04.600',0.160
'0:04.604',0.150
'0:04.608',0.155
'0:04.612',0.150
'0:04.616',0.145
'0:04.620',0.115
'0:04.624',0.095
'0:04.628',0.075
'0:04.632',0.075
'0:04.636',0.075
'0:04.640',0.065
'0:04.644',0.035
'0:04.648',-0.015
'0:04.652',-0.045
'0:04.656',-0.070
'0:04.660',-0.090
'0:04.664',-0.125
'0:04.668',-0.145
'0:04.672',-0.155
'0:04.676',-0.160
'0:04.680',-0.180
'0:04.684',-0.195
'0:04.688',-0.220
'0:04.692',-0.225
'0:04.696',-0.225
'0:04.700',-0.180
'0:04.704',-0.140
'0:04.708',-0.120
'0:04.712',-0.100
'0:04.716',-0.085
'0:04.720',-0.065
'0:04.724',-0.065
'0:04.728',-0.075
'0:04.732',-0.090
'0:04.736',-0.105
'0:04.740',-0.130
'0:04.744',-0.150
'0:04.748',-0.175
'0:04.752',-0.235
'0:04.756',-0.315
'0:04.760',-0.355
'0:04.764',-0.390
'0:04.768',-0.440
'0:04.772',-0.475
'0:04.776',-0.545
'0:04.780',-0.640
'0:04.784',-0.700
'0:04.788',-0.745
